Position ID,Timestamp,Trade Date,Net Pos,Net Price,Bought,Avg. Buy,Sold,Avg. Sell,Account,Contract,Product,Product Description,_priceFormat,_priceFormatType,_tickSize,Pair ID,Buy Fill ID,Sell Fill ID,Paired Qty,Buy Price,Sell Price,P/L,Currency,Bought Timestamp,Sold Timestamp
468156750012,04/13/2026 10:23:44,2026-04-13,0,,14,6816.75,14,6830.25,LFE1007363489002,MESM6,MES,Micro E-mini S&P 500,-2,0,0.25,468156750026,468156750010,468156750024,14,6816.75,6830.25,945.00,USD,04/13/2026 09:40:47,04/13/2026 10:23:44
468156750038,04/13/2026 15:46:53,2026-04-13,0,,1,25436.00,1,25408.75,LFE1007363489002,NQM6,NQ,E-Mini NASDAQ 100,-2,0,0.25,468156750062,468156750060,468156750036,1,25436.00,25408.75,-545.00,USD,04/13/2026 15:46:53,04/13/2026 14:50:08
468156750067,04/14/2026 12:43:26,2026-04-14,0,,7,6965.50,7,6992.75,LFE1007363489002,MESM6,MES,Micro E-mini S&P 500,-2,0,0.25,468156750096,468156750076,468156750094,7,6965.50,6992.75,953.75,USD,04/14/2026 11:10:48,04/14/2026 12:43:26
468156750113,04/15/2026 10:29:10,2026-04-15,1,7013.75,1,7013.75,0,,LFE1007363489002,ESM6,ES,E-Mini S&P 500,-2,0,0.25,,,,,,,,USD,,
